300,3640
400,3640
500,3640
600,3640
700,3640
800,3640
900,3640
1000,3640
1100,3738
1200,3836
1250,3885
1300,3934
1400,4032
1500,4130
1600,4228
1700,4326
1750,4375
1800,4424
1900,4522
2000,4620
2100,4718
2200,4816
2300,4914
2400,5012
2500,5110
2600,5208
2700,5306
2800,5404
2900,5502
3000,5600
3100,5698
3200,5796
3300,5894
3400,5992
3500,6090
3600,6188
3700,6286
3800,6384
3900,6482
4000,6580
4100,6678
4200,6776
4300,6874
4400,6972
4500,7070
4600,7168
4700,7266
4800,7364
4900,7462
5000,7560
5100,7658
5200,7756
5300,7854
5400,7952
5500,8050
5600,8148
5700,8246
5800,8344
5900,8442
6000,8540
6100,8638
6200,8736
6300,8834
6400,8932
6500,9030
6600,9128
6700,9226
6800,9324
6900,9422
7000,9520
7100,9618
7200,9716
7300,9814
7400,9912
7500,10010
7600,10108
7700,10206
7800,10304
7900,10402
8000,10500
8100,10598
8200,10696
8300,10794
8400,10892
8500,10990
8600,11088
8700,11186
8800,11284
8900,11382
9000,11480
9100,11578
9200,11676
9300,11774
9400,11872
9500,11970
9600,12068
9700,12166
9800,12264
9900,12362
10000,12460
10500,12880
11000,13300
11500,13720
12000,14140
12500,14560
13000,14980
13500,15400
14000,15820
14500,16240
15000,16660
15500,17080
16000,17500
16500,17920
17000,18340
17500,18760
18000,19180
18500,19600
19000,20020
19500,20440
20000,20860
20500,21280
21000,21700
21500,22120
22000,22540
22500,22960
23000,23380
23500,23800
24000,24220
24500,24640
25000,25060
25500,25480
26000,25900
26500,26320
27000,26740
27500,27160
28000,27580
28500,28000
29000,28420
29500,28840
30000,29260
